IN MILLISECONDS
TOOK: 23.240089416503906
TOOK: 27.967214584350586
TOOK: 16.159534454345703
TOOK: 15.32292366027832
TOOK: 18.268585205078125
TOOK: 12.758731842041016
TOOK: 48.705339431762695
TOOK: 50.04620552062988
TOOK: 16.830921173095703
TOOK: 15.58542251586914
TOOK: 17.3799991607666
TOOK: 13.670921325683594
TOOK: 14.800071716308594
TOOK: 14.611959457397461
TOOK: 14.066696166992188
TOOK: 17.53520965576172
TOOK: 15.876293182373047
TOOK: 17.3032283782959
TOOK: 46.64206504821777
TOOK: 62.91604042053223
TOOK: 16.251325607299805
TOOK: 11.883258819580078
TOOK: 24.33156967163086
TOOK: 18.87965202331543
TOOK: 54.436445236206055
TOOK: 42.89126396179199
TOOK: 44.29888725280762
TOOK: 23.183345794677734
TOOK: 17.223834991455078
TOOK: 50.25315284729004
TOOK: 13.405799865722656
TOOK: 17.319679260253906
TOOK: 13.491153717041016
TOOK: 15.74850082397461
TOOK: 12.113809585571289
TOOK: 15.767812728881836
TOOK: 13.969898223876953
TOOK: 14.610052108764648
TOOK: 42.23918914794922
TOOK: 113.90352249145508
TOOK: 31.497716903686523
TOOK: 14.335155487060547
TOOK: 53.47394943237305
TOOK: 15.385866165161133
TOOK: 15.067100524902344
TOOK: 15.763282775878906
TOOK: 12.470245361328125
TOOK: 16.820907592773438
TOOK: 15.326261520385742
TOOK: 18.85533332824707
TOOK: 23.438692092895508
TOOK: 15.706062316894531
TOOK: 27.299880981445312
TOOK: 14.761686325073242
TOOK: 19.083738327026367
TOOK: 51.89371109008789
TOOK: 15.955686569213867
TOOK: 13.808727264404297
TOOK: 13.796091079711914
TOOK: 14.545202255249023
TOOK: 11.857271194458008
TOOK: 15.039443969726562
TOOK: 14.948129653930664
TOOK: 13.297319412231445
TOOK: 12.365579605102539
TOOK: 14.368772506713867
TOOK: 17.923593521118164
TOOK: 12.662649154663086
TOOK: 11.57069206237793
TOOK: 12.742757797241211
TOOK: 14.46533203125
TOOK: 18.278837203979492
TOOK: 17.971515655517578
TOOK: 15.87986946105957
TOOK: 17.528295516967773
TOOK: 88.84835243225098
TOOK: 13.997793197631836
TOOK: 14.075279235839844
TOOK: 74.7077465057373
TOOK: 102.10609436035156
TOOK: 12.837886810302734
TOOK: 108.30092430114746
TOOK: 32.4091911315918
TOOK: 60.67919731140137
TOOK: 83.80293846130371
TOOK: 46.81897163391113
TOOK: 87.6760482788086
TOOK: 39.5665168762207
TOOK: 9.506702423095703
TOOK: 14.58287239074707
TOOK: 48.50053787231445
TOOK: 11.422157287597656
TOOK: 37.72592544555664
TOOK: 16.919612884521484
TOOK: 11.841297149658203
TOOK: 11.434555053710938
TOOK: 20.08533477783203
TOOK: 14.093637466430664
TOOK: 19.562482833862305
TOOK: 12.856006622314453
TOOK: 13.945341110229492
TOOK: 13.476371765136719
TOOK: 13.752222061157227
TOOK: 10.786771774291992
TOOK: 11.005640029907227
TOOK: 10.508298873901367
TOOK: 13.880729675292969
TOOK: 17.252683639526367
TOOK: 15.846490859985352
TOOK: 15.856742858886719
TOOK: 13.985157012939453
TOOK: 13.644695281982422
TOOK: 13.140201568603516
TOOK: 16.300678253173828
TOOK: 11.382102966308594
TOOK: 12.793540954589844
TOOK: 13.458490371704102
TOOK: 17.104148864746094
TOOK: 16.304492950439453
TOOK: 10.957956314086914
TOOK: 10.859966278076172
TOOK: 13.00668716430664
TOOK: 14.948129653930664
TOOK: 10.821104049682617
TOOK: 14.749526977539062
